name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,RestaurantsTakeOut,RestaurantsDelivery,BusinessAcceptsCreditCards,RestaurantsPriceRange2,OutdoorSeating,RestaurantsReservations,HasTV,RestaurantsGoodForGroups,GoodForKids,Alcohol,RestaurantsAttire,WiFi,NoiseLevel,BikeParking,Caters,has_parking,Mondayhour,Tuesdayhour,Wednesdayhour,Thursdayhour,Fridayhour,Saturdayhour,Sundayhour
Golden Chopstick Chinese Restaurant,1800 Spring Garden St,Philadelphia,PA,19130,39.96307771,-75.16802745,3,137,1,"Restaurants, Chinese",TRUE,TRUE,TRUE,1,FALSE,TRUE,TRUE,TRUE,TRUE,none,casual,free,average,TRUE,TRUE,TRUE,0:0-0:0,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,12:0-22:30
J Sushi,243 S 10th St,Philadelphia,PA,19107,39.9470334,-75.1574339,4.5,72,0,"Seafood, Restaurants, Sushi Bars, Japanese",TRUE,TRUE,TRUE,2,FALSE,TRUE,TRUE,TRUE,TRUE,none,casual,free,average,TRUE,TRUE,TRUE,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:30,12:0-22:30,12:0-22:0
Roma Pizza & Italian Eatery,1103 Main St,Warrington,PA,18976,40.22952697,-75.13108984,2.5,25,1,"Pizza, Restaurants",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,no,average,FALSE,FALSE,FALSE,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,10:0-23:0,11:0-22:0
Wendys,700 E. Hunting Park,Philadelphia,PA,19124,40.012141,-75.1150148,1.5,15,1,"Burgers, Restaurants, Fast Food",TRUE,TRUE,TRUE,1,FALSE,FALSE,,TRUE,TRUE,none,casual,,,,,FALSE,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0
China Pearl,2E Summit Sq Shopping Ctr,Langhorne,PA,19047,40.2177843,-74.9265858,1.5,27,1,"Japanese, Chinese, Restaurants, Thai",TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,TRUE,none,casual,no,average,TRUE,FALSE,TRUE,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,
Bagelicious - King Of Prussia,216 W Beidler Rd,King of Prussia,PA,19406,40.1124813,-75.3799748,3.5,60,1,"Restaurants, Bakeries, Caterers, Bagels, Food, Event Planning & Services",TRUE,FALSE,TRUE,1,,,,,,,,,,TRUE,,TRUE,,7:0-13:0,7:0-13:0,7:0-13:0,7:0-14:0,7:0-14:0,8:0-13:0
Red Hook Coffee & Tea,765 S 4th St,Philadelphia,PA,19147,39.9385518,-75.1496356,4.5,183,1,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea",TRUE,FALSE,FALSE,1,TRUE,FALSE,TRUE,FALSE,TRUE,none,casual,free,quiet,TRUE,FALSE,TRUE,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0
Shanghai Station,4002 Spruce St,Philadelphia,PA,19104,39.95161538,-75.20334572,4,46,0,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars",TRUE,FALSE,TRUE,2,FALSE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,free,average,FALSE,FALSE,TRUE,,,,,,,
Baltic Bakery,2609 Edgemont St,Philadelphia,PA,19125,39.9768798,-75.1161695,4.5,12,1,"Food, Bakeries, Restaurants",,FALSE,FALSE,1,,,,,,,,,,TRUE,,TRUE,,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-16:0,8:0-14:0
Brown Sugar Bakery & Cafe,219 S 52nd St,Philadelphia,PA,19139,39.9563959,-75.2253784,4.5,66,1,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,FALSE,TRUE,none,casual,free,average,TRUE,FALSE,TRUE,9:0-22:0,9:0-22:0,9:0-22:0,9:0-23:0,9:0-23:0,9:0-23:0,11:0-20:0
Jons Bar & Grille,300 South St,Philadelphia,PA,19147,39.9412993,-75.1477446,3,178,0,"Tex-Mex, Restaurants, American (Traditional), Nightlife, Bars",TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,TRUE,TRUE,none,casual,no,average,FALSE,FALSE,TRUE,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-2:0,11:0-2:0,11:0-0:0
Parlor Suburban Square,30 Parking Plz,Ardmore,PA,19003,40.008645,-75.288802,3.5,61,0,"Italian, Pizza, Gluten-Free, Restaurants, Bars, Wine Bars, Nightlife",TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,free,average,TRUE,TRUE,TRUE,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,11:30-23:0,11:30-22:0
La Sponda,20 E Lancaster Ave,Downingtown,PA,19335,40.00620751,-75.70445103,4.5,29,1,"Italian, Restaurants, Salad, Bars, Venues & Event Spaces, Wine Bars, Nightlife, Event Planning & Services",,,,2,TRUE,TRUE,,TRUE,,full_bar,casual,free,average,,,TRUE,,11:30-21:0,11:30-21:0,11:30-21:0,11:30-22:0,11:30-22:0,11:30-21:0
B2 Bluefin,401 E City Ave,Bala Cynwyd,PA,19004,40.00798391,-75.21260649,4,92,0,"Nightlife, Bars, Cocktail Bars, Japanese, Restaurants, Sushi Bars, Asian Fusion",TRUE,FALSE,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,full_bar,dressy,free,average,TRUE,FALSE,TRUE,11:30-22:0,16:30-22:0,11:30-22:0,11:30-22:0,11:30-0:0,16:30-0:0,16:30-22:0
Federal Donuts,2101 Pennsylvania Ave,Philadelphia,PA,19130,39.963042,-75.17418589,4.5,11,1,"Sandwiches, Chicken Wings, Restaurants, Donuts, Food",,,,,,,,,,,,,,,,FALSE,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0
Fusion Pizza & Grill,"1900 Grant Ave, Ste M-N",Philadelphia,PA,19115,40.0839955,-75.0354963,2.5,6,0,"Ethnic Food, Specialty Food, Restaurants, Food, Pizza",TRUE,TRUE,TRUE,,,FALSE,,TRUE,TRUE,,casual,,,,,FALSE,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-2:0,11:0-2:0,11:0-23:0
Misto Diner,5413 Neshaminy Blvd,Bensalem,PA,19020,40.1447023,-74.934106,3.5,26,0,"Chinese, Restaurants, Japanese",TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE,TRUE,none,casual,,quiet,FALSE,,TRUE,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,11:30-23:0,12:0-22:0
Acadia,824 S 8th St,Philadelphia,PA,19147,39.9389483,-75.1564078,4,79,0,"Restaurants, Cajun/Creole, Southern, Nightlife, Cocktail Bars, Breakfast & Brunch, Seafood, Bars",TRUE,None,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,full_bar,,free,,TRUE,TRUE,TRUE,0:0-0:0,17:0-23:0,17:0-23:0,17:0-0:0,17:0-2:0,17:0-2:0,10:0-23:0
World of Beer,"102 Main St, Ste 100",Exton,PA,19341,40.0236651,-75.6291878,3,208,1,"Nightlife, Pubs, American (Traditional), Restaurants, Bars",TRUE,TRUE,TRUE,2,TRUE,FALSE,TRUE,TRUE,FALSE,full_bar,casual,free,average,TRUE,FALSE,TRUE,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:30,11:0-23:30,11:0-20:0
Taqueria Feliz,303 Horsham Rd,Horsham,PA,19044,40.1807271,-75.1346993,3,77,0,"Mexican, Pizza, Restaurants",TRUE,FALSE,TRUE,2,FALSE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,free,average,TRUE,TRUE,TRUE,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-22:0,16:0-22:0,16:0-20:30
Baxters Saloon & Grill,20 Liberty Blvd,Malvern,PA,19355,40.0536347,-75.526719,2.5,31,0,"Bars, Pubs, Nightlife, Restaurants, American (Traditional)",TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,TRUE,FALSE,full_bar,casual,free,average,TRUE,,TRUE,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,11:30-2:0,12:0-22:0
McDonalds,2333 Welsh Rd,Lansdale,PA,19446,40.26370634,-75.31791576,1.5,17,1,"Restaurants, Fast Food, Burgers, Food, Coffee & Tea",TRUE,TRUE,,1,,,,,TRUE,,,free,,,,FALSE,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-0:0,6:0-0:0,6:0-23:0
Crown Fried Chicken,1128 S Broad St,Philadelphia,PA,19146,39.9368911,-75.1672837,2.5,16,1,"Restaurants, Fast Food",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,none,casual,no,average,TRUE,,TRUE,,,,,,,
The Love,130 S 18th St,Philadelphia,PA,19103,39.9506555,-75.1708991,4,618,1,"Restaurants, American (New), Breakfast & Brunch, Burgers",TRUE,TRUE,TRUE,2,TRUE,TRUE,FALSE,TRUE,FALSE,full_bar,casual,no,average,TRUE,FALSE,TRUE,0:0-0:0,17:0-21:0,17:0-21:0,17:0-21:0,16:0-21:0,16:0-22:0,16:0-21:0
Ryan Christopher,245 Woodbine Ave,Narberth,PA,19072,40.0099504,-75.2591858,4,120,1,"American (New), Restaurants",TRUE,None,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,none,casual,no,average,FALSE,FALSE,TRUE,,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,16:0-21:0
The Twisted Tail,509 S 2nd St,Philadelphia,PA,19147,39.9418766,-75.1451988,4,604,1,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants",TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,TRUE,FALSE,full_bar,casual,free,average,FALSE,TRUE,TRUE,0:0-0:0,16:0-22:0,16:0-22:0,12:0-22:0,16:0-0:0,11:0-0:0,10:0-2:0
Metro Diner,2390 E Lincoln Hwy,Langhorne,PA,19047,40.180187,-74.87527,3.5,56,1,"American (Traditional), Restaurants, Diners, Breakfast & Brunch",TRUE,TRUE,TRUE,2,,,,TRUE,,none,,,,,,TRUE,0:0-0:0,8:0-20:0,8:0-20:0,7:0-14:30,7:0-14:30,8:0-15:0,8:0-15:0
Pizza Hut,"16 Summit Sq, Store 2B, Route 413 & Doublewoods Road",Langhorne,PA,19047,40.21786,-74.92663443,1.5,18,0,"Italian, Restaurants, Fast Food, Chicken Wings, Pizza",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,FALSE,TRUE,none,casual,no,loud,FALSE,FALSE,FALSE,10:30-23:0,10:30-23:0,10:30-23:0,10:30-23:0,10:30-0:0,10:30-0:0,10:30-23:0
NY Bagel Cafe & Deli,"4514 B City Line Ave, Ste 220",Philadelphia,PA,19131,40.0027825,-75.2222705,3,52,0,"Restaurants, Food, Bagels, Breakfast & Brunch, Coffee & Tea, Sandwiches, Delis, American (New)",TRUE,TRUE,TRUE,1,FALSE,TRUE,TRUE,TRUE,TRUE,none,casual,free,average,TRUE,TRUE,FALSE,0:0-0:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0
Freddys Frozen Custard & Steakburgers,5051 Edgmont Ave,Brookhaven,PA,19015,39.879183,-75.396768,3.5,26,1,"Food, American (Traditional), Fast Food, Ice Cream & Frozen Yogurt, Burgers, Restaurants",TRUE,TRUE,,,,,,,,,,,,,,TRUE,0:0-0:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-23:0,10:30-23:0,10:30-22:0
Whetstone Tavern,700 S 5th St,Philadelphia,PA,19147,39.94087158,-75.15104681,4,166,0,"Restaurants, Cocktail Bars, American (New), Desserts, American (Traditional), Nightlife, Bars, Food",TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,TRUE,FALSE,full_bar,casual,no,average,TRUE,,TRUE,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,10:0-0:0,10:0-0:0
Chick-fil-A,9711 Roosevelt Blvd,Philadelphia,PA,19114,40.08178,-75.0267907,4,80,1,"Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch",TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,TRUE,TRUE,none,casual,free,average,TRUE,TRUE,TRUE,0:0-0:0,10:30-18:0,6:30-22:0,6:30-22:0,6:30-22:0,6:30-20:0,
Checkers,1208 N. Broad,Philadelphia,PA,19121,39.9719414,-75.159771,2,21,1,"Restaurants, Fast Food, Burgers",TRUE,TRUE,TRUE,1,TRUE,FALSE,TRUE,TRUE,TRUE,none,casual,no,average,TRUE,FALSE,TRUE,10:0-4:0,10:0-4:0,10:0-4:0,10:0-5:0,10:0-6:0,10:0-6:0,10:0-4:0
NY Bagel & Deli Shop,1120 Buttonwood St,Philadelphia,PA,19123,39.960811,-75.1573883,4,31,1,"Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis",TRUE,TRUE,TRUE,,,,TRUE,,,,,free,average,,,TRUE,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0
Hong Kong Sunny,334 W Bridge St,New Hope,PA,18938,40.36390781,-74.96602191,3,18,0,"Chinese, Restaurants",TRUE,FALSE,TRUE,1,FALSE,,FALSE,FALSE,FALSE,none,casual,no,quiet,TRUE,,FALSE,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,12:0-21:30
Olde Black Horse,200 Fairfield Rd,Norristown,PA,19401,40.1083808,-75.318943,4,9,1,"American (Traditional), Bars, Breakfast & Brunch, Nightlife, Cocktail Bars, Restaurants, Hotels & Travel, Hotels, Event Planning & Services",,,TRUE,1,,,TRUE,,,,,free,,,,FALSE,,,,,,,
Cafe Victorias,325 N 12th St,Philadelphia,PA,19107,39.958422,-75.158257,3,29,0,"Food, Cafes, Restaurants, Coffee & Tea, Breakfast & Brunch",TRUE,TRUE,TRUE,1,TRUE,FALSE,FALSE,TRUE,TRUE,none,casual,free,quiet,TRUE,TRUE,TRUE,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,,
Picasso Restaurant & Bar,36 W State St,Media,PA,19063,39.9179115,-75.390854,3,34,0,"Italian, Spanish, Restaurants, Food",TRUE,FALSE,TRUE,2,TRUE,TRUE,FALSE,TRUE,FALSE,full_bar,casual,,average,,,TRUE,,,,,,,
La Cucina Italian Eatery,1642 Butler Pike,Conshohocken,PA,19428,40.088398,-75.2926963,4,44,1,"Italian, American (Traditional), Pizza, Restaurants, Cheesesteaks",TRUE,TRUE,TRUE,2,TRUE,FALSE,TRUE,TRUE,TRUE,none,casual,free,average,TRUE,TRUE,TRUE,0:0-0:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-23:0,10:0-23:0,11:0-22:0
KFC,716 Adams Ave,Philadelphia,PA,19124,40.031578,-75.104787,2,7,1,"Restaurants, Chicken Shop, Fast Food, Chicken Wings",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,FALSE,TRUE,,,free,,,TRUE,FALSE,10:30-23:0,10:30-23:0,10:30-23:0,10:30-23:0,10:30-0:0,10:30-0:0,10:30-22:0
State Street Kitchen,24 S State St,Newtown,PA,18940,40.2285432,-74.9370146,4.5,124,1,"Korean, American (Traditional), Sandwiches, Cheesesteaks, Restaurants, Coffee & Tea, Breakfast & Brunch, Food",TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,TRUE,none,casual,no,average,TRUE,TRUE,TRUE,,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,8:0-15:0,8:0-14:30
Wawa,100 E Old Baltimore Pike,Media,PA,19063,39.91617554,-75.38765464,3.5,14,1,"Delis, Convenience Stores, Restaurants, Food, Coffee & Tea, Sandwiches",TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,TRUE,none,casual,free,average,TRUE,,TRUE,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Panera Bread,150 Allendale Rd,King of Prussia,PA,19406,40.089985,-75.382315,2.5,58,1,"Restaurants, Bakeries, Cafes, Bagels, Food, Soup, Salad, Sandwiches, Breakfast & Brunch",TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,free,average,TRUE,TRUE,TRUE,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0
Nudys Cafe - Chadds Ford,240 Painters Crossing,Chadds Ford,PA,19317,39.8808598,-75.5482765,3.5,63,1,"Breakfast & Brunch, Restaurants, American (Traditional)",TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,TRUE,TRUE,none,casual,no,average,FALSE,FALSE,TRUE,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-15:0,7:0-15:0
McDonalds,501 Franklin Mill Cir,Philadelphia,PA,19154,40.0884161,-74.9650112,1.5,20,1,"Restaurants, Fast Food, Food, Coffee & Tea, Burgers",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,,casual,,,FALSE,,FALSE,5:30-0:0,5:30-0:0,5:30-0:0,5:30-0:0,5:30-1:0,5:30-1:0,7:0-23:0
Trattoria Totaro,639 Spring Mill Ave,Conshohocken,PA,19428,40.0750524,-75.2945235,4,135,1,"Italian, Restaurants",TRUE,TRUE,TRUE,2,TRUE,TRUE,FALSE,TRUE,TRUE,none,casual,no,average,TRUE,TRUE,TRUE,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0
The Irish Times,629 S 2nd St,Philadelphia,PA,19147,39.9403745,-75.1456109,3.5,44,0,"Nightlife, Bars, Beer, Wine & Spirits, Pubs, Irish, Food, Restaurants",TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,free,average,FALSE,FALSE,TRUE,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,12:0-2:0,10:0-2:0,10:0-2:0
Kellys Taproom,1107 Lancaster Ave,Bryn Mawr,PA,19010,40.024588,-75.3242387,3,63,1,"Bars, Beer Bar, American (Traditional), Nightlife, Pubs, Burgers, Restaurants",TRUE,FALSE,TRUE,2,FALSE,FALSE,TRUE,TRUE,FALSE,full_bar,casual,free,loud,TRUE,FALSE,TRUE,,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,11:30-2:0,11:0-0:0
Licatas Italian Deli,15 Moser Rd,Pottstown,PA,19464,40.2427158,-75.6180811,4.5,8,0,"Italian, Delis, Restaurants, Salad",,,,,,,,,,,,,,,,FALSE,,11:0-20:30,11:0-20:30,11:0-20:30,11:0-20:30,11:0-20:30,
24,2401 Walnut St,Philadelphia,PA,19103,39.9515211,-75.1798731,3.5,111,0,"Italian, Bars, Restaurants, Nightlife, Wine Bars, Breakfast & Brunch",TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,full_bar,casual,free,loud,TRUE,TRUE,TRUE,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-22:0,11:0-22:0,11:0-21:0
Spring Hollow Golf Club,3350 Schuylkill Rd,Spring City,PA,19475,40.185507,-75.574882,3,29,1,"Golf, Venues & Event Spaces, Event Planning & Services, Restaurants, Active Life",TRUE,FALSE,TRUE,,TRUE,TRUE,,,TRUE,full_bar,,free,,TRUE,,TRUE,0:0-0:0,10:0-20:0,10:0-21:0,10:0-20:0,11:30-21:0,10:0-20:0,10:0-20:0
Saladworks,2804 S Eagle Rd,Newtown,PA,18940,40.2340046,-74.94148723,3,42,0,"Soup, Salad, American (Traditional), Vegetarian, Sandwiches, American (New), Restaurants",TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE,TRUE,none,casual,no,average,TRUE,TRUE,FALSE,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-19:0
Candidas Pizza,35 E Butler Ave,Ambler,PA,19002,40.154294,-75.2229125,2.5,22,0,"Restaurants, Pizza, Fast Food",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,free,average,FALSE,TRUE,TRUE,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,12:0-22:0
Cedar Park Cafe,4914 Baltimore Ave,Philadelphia,PA,19143,39.94796,-75.22198,4,301,1,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,none,casual,no,average,TRUE,FALSE,TRUE,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:30,7:0-15:30
Wawa,2544 W Main Street,Norristown,PA,19403,40.141292,-75.389286,3.5,8,1,"Food, Coffee & Tea, Gas Stations, Restaurants, Automotive, Sandwiches, Convenience Stores",TRUE,TRUE,TRUE,1,,,,,,,,free,,TRUE,FALSE,FALSE,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
The Coventry Deli,2000 Market St,Philadelphia,PA,19103,39.953291,-75.173645,4,65,1,"Restaurants, Delis, Salad, Sandwiches",TRUE,TRUE,TRUE,1,TRUE,FALSE,TRUE,TRUE,TRUE,none,casual,,average,TRUE,TRUE,FALSE,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,,
Sean Thorntons Public House,2401 E Allegheny Ave,Philadelphia,PA,19134,39.988107,-75.105553,3.5,6,1,"Food, Nightlife, Restaurants, Irish Pub, Bars, Irish, Pubs, Beer, Wine & Spirits, Event Planning & Services, Gastropubs, Caterers",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,FALSE,full_bar,casual,no,,,,TRUE,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,11:0-2:0
Mortons The Steakhouse,1411 Walnut St,Philadelphia,PA,19102,39.949603,-75.16497016,3.5,149,0,"Steakhouses, Restaurants, Nightlife, Seafood, Bars, American (Traditional)",FALSE,FALSE,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,full_bar,dressy,no,quiet,TRUE,TRUE,FALSE,17:0-22:0,17:0-22:0,17:0-22:0,12:0-22:0,17:0-23:0,17:0-23:0,17:0-22:0
Hong Kong Chinese Restaurant,326 N Chester Pike,Glenolden,PA,19036,39.9033171,-75.2844083,3,18,1,"Chinese, Restaurants",TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE,TRUE,TRUE,,casual,,,,,FALSE,,,,,,,
China Wok,545 Rockledge Ave,Huntingdon Valley,PA,19006,40.09039773,-75.09267603,4,55,1,"Chinese, Restaurants, Seafood, Noodles",TRUE,TRUE,TRUE,2,FALSE,TRUE,TRUE,TRUE,TRUE,none,casual,,quiet,,,TRUE,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,12:0-21:0
